timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;-54.0;0.0;-54.0
200;-40.5;0.0;-40.5
300;0.0;0.0;0.0
400;-63.0;0.0;-63.0
500;-102.0;0.0;-102.0
600;-68.0;0.0;-68.0
700;-139.0;0.0;-139.0
800;-178.0;0.0;-178.0
900;-199.0;0.0;-199.0
1000;-271.0;0.0;-271.0
1100;-559.0;0.0;-559.0
1200;-331.0;0.0;-331.0
1300;-263.0;0.0;-263.0
1400;-473.0;0.0;-473.0
1500;-463.0;0.0;-463.0
1600;-303.0;0.0;-303.0
1700;-863.0;0.0;-863.0
1800;-383.0;0.0;-383.0
1900;-383.0;0.0;-383.0
2000;-383.0;0.0;-383.0
2100;-863.0;0.0;-863.0
2200;-383.0;0.0;-383.0
2300;-383.0;0.0;-383.0
2400;-383.0;0.0;-383.0
2500;-863.0;0.0;-863.0
2600;-303.0;0.0;-303.0
2700;-303.0;0.0;-303.0
2800;-423.0;0.0;-423.0
2900;-303.0;0.0;-303.0
3000;-703.0;0.0;-703.0
3100;177.0;0.0;177.0
3200;-183.0;0.0;-183.0
3300;177.0;0.0;177.0
3400;-303.0;0.0;-303.0
3500;-263.0;0.0;-263.0
3600;-223.0;0.0;-223.0
3700;-223.0;0.0;-223.0
3800;-343.0;0.0;-343.0
3900;-223.0;0.0;-223.0
4000;-223.0;0.0;-223.0
4100;257.0;0.0;257.0
4200;-343.0;0.0;-343.0
4300;-223.0;0.0;-223.0
4400;-223.0;0.0;-223.0
4500;-183.0;0.0;-183.0
4600;-143.0;0.0;-143.0
4700;-183.0;0.0;-183.0
4800;-543.0;0.0;-543.0
4900;-143.0;0.0;-143.0
5000;-143.0;0.0;-143.0
5100;-143.0;0.0;-143.0
5200;-143.0;0.0;-143.0
5300;-143.0;0.0;-143.0
5400;-103.0;0.0;-103.0
5500;-23.0;0.0;-23.0
5600;-183.0;0.0;-183.0
5700;-63.0;0.0;-63.0
5800;-63.0;0.0;-63.0
5900;-63.0;0.0;-63.0
6000;-183.0;0.0;-183.0
6100;-87.0;-24.0;-63.0
6200;-91.0;-28.0;-63.0
6300;-55.0;8.0;-63.0
6400;-99.0;44.0;-143.0
6500;-9.0;14.0;-23.0
6600;117.0;20.0;97.0
6700;-443.0;20.0;-463.0
6800;37.0;20.0;17.0
6900;37.0;20.0;17.0
7000;19.0;2.0;17.0
7100;19.0;2.0;17.0
7200;49.0;32.0;17.0
7300;37.0;20.0;17.0
7400;49.0;32.0;17.0
7500;-455.0;8.0;-463.0
7600;117.0;20.0;97.0
7700;129.0;32.0;97.0
7800;117.0;20.0;97.0
7900;111.0;14.0;97.0
8000;-15.0;8.0;-23.0
8100;105.0;8.0;97.0
8200;165.0;68.0;97.0
8300;117.0;20.0;97.0
8400;117.0;20.0;97.0
8500;-243.0;20.0;-263.0
8600;209.0;32.0;177.0
8700;77.0;20.0;57.0
8800;191.0;14.0;177.0
8900;77.0;20.0;57.0
9000;329.0;32.0;297.0
9100;209.0;32.0;177.0
9200;113.0;-64.0;177.0
9300;209.0;32.0;177.0
9400;329.0;32.0;297.0
9500;193.0;-24.0;217.0
9600;377.0;40.0;337.0
9700;297.0;40.0;257.0
9800;281.0;24.0;257.0
9900;-423.0;40.0;-463.0
10000;305.0;48.0;257.0
10100;281.0;24.0;257.0
10200;281.0;24.0;257.0
10300;281.0;24.0;257.0
10400;273.0;16.0;257.0
10500;-79.0;24.0;-103.0
10600;377.0;40.0;337.0
10700;337.0;40.0;297.0
10800;345.0;8.0;337.0
10900;345.0;8.0;337.0
11000;241.0;24.0;217.0
11100;385.0;48.0;337.0
11200;497.0;40.0;457.0
11300;377.0;40.0;337.0
11400;393.0;56.0;337.0
11500;417.0;40.0;377.0
11600;553.0;56.0;497.0
11700;937.0;40.0;897.0
11800;-183.0;120.0;-303.0
11900;457.0;40.0;417.0
12000;457.0;40.0;417.0
12100;561.0;24.0;537.0
12200;705.0;168.0;537.0
12300;497.0;80.0;417.0
12400;441.0;24.0;417.0
12500;369.0;-88.0;457.0
12600;537.0;40.0;497.0
12700;-159415.0;-159912.0;497.0
12800;537.0;40.0;497.0
12900;553.0;56.0;497.0
13000;417.0;40.0;377.0
13100;537.0;40.0;497.0
13200;-55.0;-72.0;17.0
13300;545.0;48.0;497.0
13400;575.0;78.0;497.0
13500;585.0;48.0;537.0
13600;505.0;48.0;457.0
13700;745.0;48.0;697.0
13800;625.0;48.0;577.0
13900;495.0;38.0;457.0
14000;675.0;98.0;577.0
14100;645.0;68.0;577.0
14200;765.0;68.0;697.0
14300;645.0;68.0;577.0
14400;655.0;78.0;577.0
14500;735.0;118.0;617.0
14600;1225.0;88.0;1137.0
14700;765.0;28.0;737.0
14800;1245.0;108.0;1137.0
14900;725.0;68.0;657.0
15000;785.0;128.0;657.0
15100;765.0;108.0;657.0
15200;885.0;108.0;777.0
15300;1065.0;288.0;777.0
15400;425.0;128.0;297.0
15500;725.0;108.0;617.0
15600;875.0;138.0;737.0
15700;865.0;128.0;737.0
15800;945.0;88.0;857.0
15900;865.0;128.0;737.0
16000;1005.0;268.0;737.0
16100;865.0;128.0;737.0
16200;945.0;88.0;857.0
16300;845.0;108.0;737.0
16400;845.0;108.0;737.0
16500;885.0;108.0;777.0
16600;925.0;108.0;817.0
16700;225.0;128.0;97.0
16800;975.0;158.0;817.0
16900;985.0;168.0;817.0
17000;845.0;148.0;697.0
17100;825.0;128.0;697.0
17200;965.0;148.0;817.0
17300;1085.0;148.0;937.0
